更新日期,http://live.nctv.top/huya.php?id=11342412
2026-09-04,http://tc-tct.douyucdn2.cn/dyliveflv1a/1863767rkpl2_2000p.m3u8?wsAuth=e06e8fc59b6e23439332b7caf1b2687d&token=cpn-androidmpro-0-1863767-7b520f6fe0a2b18d8fe12b672922635bfc8c2d455179f350&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$LR•IPV4『线路1』
江西都市,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxds$LR•IPV4『线路1』
江西都市,http://local-live.jxtvcn.com.cn/live/tv_jxtv2.m3u8$LR•IPV4『线路2』
江西都市,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv2.m3u8$LR•IPV4『线路3』
江西都市,http://local-live.jxtvcn.com.cn/live/tv_jxtv2.flv$LR•IPV4『线路4』
江西都市,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv2.flv$LR•IPV4『线路5』
江西都市,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv2$LR•IPV4『线路6』
江西都市,rtmp://play-live-hls.jxtvcn.com.cn/live/tv_jxtv2$LR•IPV4『线路7』
江西都市,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227290/10000100000000060000000001722654_0.smil$LR•IPV4『线路8』
江西都市,rtsp://115.153.233.154/PLTV/88888888/224/3221227069/94448631.smil$LR•IPV4『线路9』
江西都市,rtsp://115.153.245.70/PLTV/88888888/224/3221226728/53707442.smil$LR•IPV4『线路10』
江西都市,rtsp://115.153.233.154/PLTV/88888888/224/3221226728/53707442.smil$LR•IPV4『线路11』
江西都市,rtsp://115.153.212.72/PLTV/88888888/224/3221226728/53707442.smil$LR•IPV4『线路12』
江西经济生活,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxjjsh$LR•IPV4『线路1』
江西经济生活,http://local-live.jxtvcn.com.cn/live/tv_jxtv3_hd.m3u8$LR•IPV4『线路2』
江西经济生活,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv3.m3u8$LR•IPV4『线路3』
江西经济生活,http://local-live.jxtvcn.com.cn/live/tv_jxtv3_hd.flv$LR•IPV4『线路4』
江西经济生活,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv3.flv$LR•IPV4『线路5』
江西经济生活,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv3_hd$LR•IPV4『线路6』
江西经济生活,rtmp://play-live-hls.jxtvcn.com.cn/live/tv_jxtv3$LR•IPV4『线路7』
江西经济生活,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227092/10000100000000060000000000610996_0.smil$LR•IPV4『线路8』
江西经济生活,rtsp://115.153.233.154/PLTV/88888888/224/3221226946/70055407.smil$LR•IPV4『线路9』
江西经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil$LR•IPV4『线路10』
江西经济生活,rtsp://115.153.233.154/PLTV/88888888/224/3221226717/53707446.smil$LR•IPV4『线路11』
江西经济生活,rtsp://115.153.212.72/PLTV/88888888/224/3221226946/70055407.smil$LR•IPV4『线路12』
江西经济生活,rtsp://115.153.212.72/PLTV/88888888/224/3221226717/53707446.smil$LR•IPV4『线路13』
江西影视旅游,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxysly$LR•IPV4『线路1』
江西影视旅游,http://local-live.jxtvcn.com.cn/live/tv_jxtv4.m3u8$LR•IPV4『线路2』
江西影视旅游,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv4.m3u8$LR•IPV4『线路3』
江西影视旅游,http://local-live.jxtvcn.com.cn/live/tv_jxtv4.flv$LR•IPV4『线路4』
江西影视旅游,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv4.flv$LR•IPV4『线路5』
江西影视旅游,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv4$LR•IPV4『线路6』
江西影视旅游,rtmp://play-live-hls.jxtvcn.com.cn/live/tv_jxtv4$LR•IPV4『线路7』
江西影视旅游,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227287/10000100000000060000000001899760_0.smil$LR•IPV4『线路8』
江西影视旅游,rtsp://115.153.233.154/PLTV/88888888/224/3221226704/53213102.smil$LR•IPV4『线路9』
江西影视旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221226704/53213102.smil$LR•IPV4『线路10』
江西影视旅游,rtsp://115.153.212.72/PLTV/88888888/224/3221226704/53213102.smil$LR•IPV4『线路11』
江西公共农业,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxggny$LR•IPV4『线路1』
江西公共农业,http://local-live.jxtvcn.com.cn/live/tv_jxtv5.m3u8$LR•IPV4『线路2』
江西公共农业,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv5.m3u8$LR•IPV4『线路3』
江西公共农业,http://local-live.jxtvcn.com.cn/live/tv_jxtv5.flv$LR•IPV4『线路4』
江西公共农业,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv5.flv$LR•IPV4『线路5』
江西公共农业,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv5$LR•IPV4『线路6』
江西公共农业,rtmp://play-live-hls.jxtvcn.com.cn/live/tv_jxtv5$LR•IPV4『线路7』
江西公共农业,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226948/10000100000000060000000000527279_0.smil$LR•IPV4『线路8』
江西公共农业,rtsp://115.153.233.154/PLTV/88888888/224/3221226708/53213097.smil$LR•IPV4『线路9』
江西公共农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil$LR•IPV4『线路10』
江西公共农业,rtsp://115.153.212.72/PLTV/88888888/224/3221226708/53213097.smil$LR•IPV4『线路11』
江西少儿,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxse$LR•IPV4『线路1』
江西少儿,http://local-live.jxtvcn.com.cn/live/tv_jxtv6.m3u8$LR•IPV4『线路2』
江西少儿,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv6.m3u8$LR•IPV4『线路3』
江西少儿,http://local-live.jxtvcn.com.cn/live/tv_jxtv6.flv$LR•IPV4『线路4』
江西少儿,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv6.flv$LR•IPV4『线路5』
江西少儿,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv6$LR•IPV4『线路6』
江西少儿,rtmp://play-live-hls.jxtvcn.com.cn/live/tv_jxtv6$LR•IPV4『线路7』
江西少儿,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227089/10000100000000060000000000582672_0.smil$LR•IPV4『线路8』
江西少儿,rtsp://115.153.233.154/PLTV/88888888/224/3221226938/68733921.smil$LR•IPV4『线路9』
江西少儿,rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil$LR•IPV4『线路10』
江西少儿,rtsp://115.153.233.154/PLTV/88888888/224/3221226724/53707450.smil$LR•IPV4『线路11』
江西少儿,rtsp://115.153.212.72/PLTV/88888888/224/3221226938/68733921.smil$LR•IPV4『线路12』
江西少儿,rtsp://115.153.212.72/PLTV/88888888/224/3221226724/53707450.smil$LR•IPV4『线路13』
江西新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxxw$LR•IPV4『线路1』
江西新闻,http://local-live.jxtvcn.com.cn/live/tv_jxtv7.m3u8$LR•IPV4『线路2』
江西新闻,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv7.m3u8$LR•IPV4『线路3』
江西新闻,http://local-live.jxtvcn.com.cn/live/tv_jxtv7.flv$LR•IPV4『线路4』
江西新闻,http://play-live-hls.jxtvcn.com.cn/live/tv_jxtv7.flv$LR•IPV4『线路5』
江西新闻,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv7$LR•IPV4『线路6』
